Rank,TLA,crash_road,side_road,northing,easting,latitude,longitude,minorInjuryCrashes,seriousInjuryCrashes,fatalCrashes,totalInjuryCrashes,minorInjuries,seriousInjuries,fatalities,totalCasualties
36,Hamilton City ,SH 1 (Cobham Drive),Grey Street,5813528,1802513,-37.80319487,175.300307,16,3,0,19,21,3,0,24
37,Auckland,Ti Rakau Drive,Pakuranga Highway,5912928,1766663,-36.91494745,174.8709463,26,4,0,30,26,5,0,31
38,Auckland,Queen Street,Shortland Street,5920716,1757464,-36.84635645,174.7661077,18,3,0,21,20,3,0,23
39,Horowhenua District ,SH 1 (South Road),SH 57 (Kimberley Road),5497863,1791111,-40.6479802,175.2603111,11,2,0,13,19,2,0,21
40,Auckland,Ash Street,Rosebank Road,5915590,1750837,-36.89362611,174.6928289,28,2,1,31,37,4,1,42
41,Auckland,Murphys Road,Flat Bush School Road,5906162,1771125,-36.97510596,174.9225427,7,4,1,12,20,10,1,31
42,Auckland,Te Irirangi Drive,Smales Road,5909844,1769943,-36.94214732,174.9084417,19,4,0,23,29,5,0,34
43,Wellington City,Courtenay Place,Taranaki Street,5427247,1748949,-41.29248826,174.7789116,20,7,1,28,22,7,1,30
44,Auckland,Pakuranga Road,Aviemore Drive,5914774,1769862,-36.89774488,174.9064261,28,3,0,31,34,3,0,37
45,Auckland,Karangahape Road,Queen Street,5919442,1757025,-36.85790872,174.7614495,26,2,0,28,32,2,0,34
46,Auckland,Te Atatu Road,Edmonton Road,5918818,1746817,-36.86517312,174.647105,23,2,0,25,32,2,0,34
47,Waimakariri District ,SH 1 (Main North Road),Williams Street,5199961,1572671,-43.35270942,172.662774,9,5,1,15,20,6,1,27
48,Auckland ,SH 16 (Kaipara Coast Highway),Kahikatea Flat Road,5945724,1734308,-36.62456609,174.5020816,4,5,0,9,11,5,0,16
49,Christchurch City,Moorhouse Avenue,Manchester Street,5179156,1570889,-43.53997501,172.6396752,29,2,1,32,39,3,3,45
50,Dunedin City,Hillside Road,King Edward Street,4914769,1405918,-45.8932562,170.4983096,21,9,1,31,29,18,1,48
51,Auckland,Porchester Road,Popes Road,5900037,1771345,-37.030248,174.9264053,8,2,1,11,13,2,1,16
52,Manawatu District ,SH 1,Highway 56,5526231,1796492,-40.39136005,175.3150986,7,3,0,10,22,4,0,26
53,Dunedin City,George Street,Frederick Street,4917605,1406512,-45.8679222,170.5071002,18,6,0,24,20,6,0,26
54,Auckland,Fanshawe Street,Halsey Street,5920757,1756610,-36.84612892,174.756525,23,2,1,26,28,2,1,31
55,Auckland,Swanson Road,Don Buck Road,5919350,1743700,-36.86085864,174.6120481,26,1,0,27,35,1,0,36
56,Hastings District,Railway Road South,Longlands Road,5602249,1927234,-39.66694087,176.8145915,8,4,0,12,11,4,0,15
57,Auckland,Kerrs Road,Druces Road,5902954,1767318,-37.00469347,174.8805049,19,4,0,23,35,4,0,39
58,Hastings District,Pakowhai Road,Ruahapia Road,5609028,1932274,-39.60405603,176.8698155,10,2,1,13,17,5,1,23
59,Auckland,Ti Rakau Drive,Botany Road,5911305,1770336,-36.92891347,174.9125237,24,5,0,29,37,5,0,42
60,Far North District ,SH 1,SH 10,6086904,1686917,-35.35737783,173.9566611,6,4,0,10,16,5,0,21
